State,City,Population,Total law enforcement employees,Total officers,Total civilians,,,,
,City of Angels,"3,825",10,9,1,,,,
,Claremont,"35,121",65,42,23,,,,
,Clayton,"11,217",13,11,2,,,,
,Clearlake,"15,117",29,20,9,,,,
,Cloverdale,"8,333",23,14,9,,,,
,Clovis,"93,848",154,104,50,,,,
,Coalinga,"18,691",28,18,10,,,,
,Colma,"1,440",26,19,7,,,,
,Colton,"51,177",106,72,34,,,,
,Colusa,"5,829",9,8,1,,,,
,Concord,"120,679",233,165,68,,,,
,Corcoran,"25,235",29,19,10,,,,
,Corning,"7,178",24,14,10,,,,
,Corona,"153,193",252,178,74,,,,
,Coronado,"22,694",61,40,21,,,,
,Costa Mesa,"108,898",238,162,76,,,,
,Cotati,"7,267",19,12,7,,,,
,Covina,"47,291",91,59,32,,,,
,Crescent City,"7,980",14,13,1,,,,
,Culver City,"38,850",153,114,39,,,,
,Cypress,"47,212",77,58,19,,,,
,Daly City,"100,542",154,113,41,,,,
,Davis,"63,179",94,59,35,,,,
,Delano,"54,273",68,44,24,,,,
,Del Rey Oaks,"1,523",6,6,0,,,,
,Desert Hot Springs,"25,471",28,23,5,,,,
,Dinuba,"20,366",50,38,12,,,,
,Dixon,"17,716",30,24,6,,,,
,Dos Palos,"4,992",9,7,2,,,,
,Downey,"108,184",164,107,57,,,,
,East Palo Alto,"33,513",39,29,10,,,,
